股票代码,股票名称,最新价,今日涨跌额,今日主力净流入净额,今日主力净流入净占比,今日超大单净流入净额,今日超大单净流入净占比,今日大单净流入净额,今日大单净流入净占比,今日中单净流入净额,今日中单净流入净占比,今日小单净流入净额,今日小单净流入净占比
002156,通富微电,24.2,9.95,927771264.0,23.87,1061478368.0,27.31,-133707104.0,-3.44,-507233920.0,-13.05,-420537344.0,-10.82
300496,中科创达,93.4,11.92,342651329.0,19.37,132719249.0,7.5,209932080.0,11.87,-187569920.0,-10.6,-155081392.0,-8.77
601138,工业富联,17.44,3.87,276073648.0,8.3,440253568.0,13.24,-164179920.0,-4.94,-276323184.0,-8.31,249520.0,0.01
002558,巨人网络,18.63,9.98,255118880.0,15.7,267403984.0,16.45,-12285104.0,-0.76,-129386288.0,-7.96,-125732612.0,-7.74
688012,中微公司,170.62,3.7,198571491.0,12.84,88083059.0,5.69,110488432.0,7.14,-83951392.0,-5.43,-114620112.0,-7.41
300113,顺网科技,17.59,19.99,194768247.0,20.79,190934725.0,20.38,3833522.0,0.41,-86507600.0,-9.23,-108260644.0,-11.55
000938,紫光股份,31.15,6.02,190983904.0,7.5,254333296.0,9.99,-63349392.0,-2.49,-91671376.0,-3.6,-99312528.0,-3.9
000100,TCL科技,3.68,4.55,189780529.0,18.72,54502791.0,5.38,135277738.0,13.34,-74874404.0,-7.39,-114906120.0,-11.33
603444,吉比特,526.89,6.84,183633892.0,21.63,92774525.0,10.93,90859367.0,10.7,-183191920.0,-21.58,-441979.0,-0.05
300002,神州泰岳,12.82,14.36,162601088.0,8.43,126267984.0,6.55,36333104.0,1.88,-55345488.0,-2.87,-107255616.0,-5.56
600021,上海电力,11.6,6.62,151704947.0,12.55,80648419.0,6.67,71056528.0,5.88,-54534544.0,-4.51,-97170400.0,-8.04
600103,青山纸业,2.78,9.88,147339928.0,30.7,171385677.0,35.72,-24045749.0,-5.01,-60493450.0,-12.61,-86846479.0,-18.1
000600,建投能源,7.63,9.94,129343685.0,30.8,136913701.0,32.6,-7570016.0,-1.8,-51466809.0,-12.26,-77876876.0,-18.55
600028,中国石化,6.46,4.53,124671807.0,12.93,-15203825.0,-1.58,139875632.0,14.5,-73836596.0,-7.66,-50835220.0,-5.27
688981,中芯国际,52.83,1.99,116404429.0,7.29,95960061.0,6.01,20444368.0,1.28,-85468512.0,-5.35,-30935925.0,-1.94
601225,陕西煤业,17.54,-2.18,112342330.0,13.97,68890042.0,8.57,43452288.0,5.41,-32529447.0,-4.05,-79812883.0,-9.93
002555,三七互娱,30.11,5.54,110479600.0,6.17,-7586704.0,-0.42,118066304.0,6.59,-53364656.0,-2.98,-57114944.0,-3.19
