股票代码,股票名称,最新价,今日涨跌额,今日主力净流入净额,今日主力净流入净占比,今日超大单净流入净额,今日超大单净流入净占比,今日大单净流入净额,今日大单净流入净占比,今日中单净流入净额,今日中单净流入净占比,今日小单净流入净额,今日小单净流入净占比
000002,万  科Ａ,7.56,3.56,357507200.0,10.74,300016256.0,9.02,57490944.0,1.73,-117076192.0,-3.52,-240431008.0,-7.23
001979,招商蛇口,9.82,9.97,346287600.0,16.82,280995904.0,13.65,65291696.0,3.17,-162064752.0,-7.87,-184222864.0,-8.95
601899,紫金矿业,18.24,2.99,325737344.0,8.75,376670352.0,10.12,-50933008.0,-1.37,-194856672.0,-5.23,-130880672.0,-3.52
000001,平安银行,10.94,1.67,296412144.0,15.41,321050288.0,16.69,-24638144.0,-1.28,-155076912.0,-8.06,-141335237.0,-7.35
601318,中国平安,42.93,1.39,281531904.0,9.69,207278096.0,7.13,74253808.0,2.55,-207283280.0,-7.13,-74248608.0,-2.55
600048,保利发展,9.72,5.54,278800656.0,9.72,236253232.0,8.24,42547424.0,1.48,-68631088.0,-2.39,-210169584.0,-7.33
002413,雷科防务,4.92,10.07,253715205.0,36.73,220934912.0,31.99,32780293.0,4.75,-99700590.0,-14.44,-154014615.0,-22.3
000333,美的集团,71.88,0.04,246385629.0,15.25,74533421.0,4.61,171852208.0,10.63,-222431040.0,-13.76,-23954592.0,-1.48
600036,招商银行,35.62,2.24,221954640.0,6.66,291237008.0,8.74,-69282368.0,-2.08,-65161312.0,-1.96,-156793328.0,-4.71
300766,每日互动,13.75,19.98,212256013.0,26.88,186200003.0,23.58,26056010.0,3.3,-87511563.0,-11.08,-124744443.0,-15.8
600489,中金黄金,14.33,4.98,205209204.0,15.2,168358708.0,12.47,36850496.0,2.73,-89879216.0,-6.66,-115329983.0,-8.54
600547,山东黄金,30.66,1.76,185082471.0,16.46,178799687.0,15.9,6282784.0,0.56,-29894960.0,-2.66,-155187514.0,-13.8
600383,金地集团,3.97,5.03,181291689.0,19.53,120155768.0,12.94,61135921.0,6.58,-72052490.0,-7.76,-109239205.0,-11.77
601155,新城控股,10.9,7.92,179278030.0,19.7,162305608.0,17.83,16972422.0,1.86,-61645146.0,-6.77,-117632888.0,-12.92
600030,中信证券,19.06,0.79,178636305.0,10.38,118404721.0,6.88,60231584.0,3.5,-113677808.0,-6.61,-64958512.0,-3.78
601728,中国电信,5.99,1.01,178308127.0,14.43,71246247.0,5.76,107061880.0,8.66,-97168064.0,-7.86,-81140065.0,-6.57
000962,东方钽业,12.23,5.98,174706386.0,18.61,142858482.0,15.22,31847904.0,3.39,-30539731.0,-3.25,-144166648.0,-15.36
002271,东方雨虹,15.62,4.2,172045141.0,12.51,114504229.0,8.32,57540912.0,4.18,-24054272.0,-1.75,-147990880.0,-10.76
601166,兴业银行,17.07,1.25,168712741.0,13.62,210696651.0,17.01,-41983910.0,-3.39,-175695444.0,-14.19,6982704.0,0.56
000610,西安旅游,13.71,6.03,162659511.0,23.33,150976941.0,21.65,11682570.0,1.68,-82442862.0,-11.82,-80216649.0,-11.5
000899,赣能股份,11.75,10.02,147826452.0,13.97,161918705.0,15.3,-14092253.0,-1.33,-86043552.0,-8.13,-61782888.0,-5.84
601668,中国建筑,5.48,1.29,145822752.0,11.44,153186912.0,12.02,-7364160.0,-0.58,-78009936.0,-6.12,-67812822.0,-5.32
601099,太平洋,3.56,3.49,145761152.0,7.33,89431104.0,4.5,56330048.0,2.83,-20212432.0,-1.02,-125548720.0,-6.31
000560,我爱我家,2.2,10.0,141403618.0,24.08,157891339.0,26.89,-16487721.0,-2.81,-57949766.0,-9.87,-83453852.0,-14.21
601601,中国太保,27.65,3.36,140518809.0,11.59,79920937.0,6.59,60597872.0,5.0,17349968.0,1.43,-157868783.0,-13.02
002061,浙江交科,4.34,6.63,139871663.0,15.42,167646046.0,18.48,-27774383.0,-3.06,-76628595.0,-8.45,-63243078.0,-6.97
300040,九洲集团,5.93,20.04,139443439.0,31.94,149341350.0,34.21,-9897911.0,-2.27,-66230187.0,-15.17,-73213251.0,-16.77
600505,西昌电力,11.42,10.02,138261470.0,29.98,157161390.0,34.08,-18899920.0,-4.1,-63765453.0,-13.83,-74496018.0,-16.16
002244,滨江集团,7.69,10.01,134795577.0,13.81,135783209.0,13.91,-987632.0,-0.1,-48664354.0,-4.98,-86131220.0,-8.82
600744,华银电力,3.98,9.94,132293742.0,15.39,150134348.0,17.46,-17840606.0,-2.07,-53982422.0,-6.28,-78311315.0,-9.11
000990,诚志股份,8.95,9.95,132116341.0,16.05,141529844.0,17.19,-9413503.0,-1.14,-80841092.0,-9.82,-51275254.0,-6.23
601390,中国中铁,6.7,1.36,126007280.0,13.45,125706894.0,13.42,300386.0,0.03,-47854879.0,-5.11,-78152402.0,-8.34
000736,中交地产,10.67,10.0,120983745.0,21.78,92444953.0,16.64,28538792.0,5.14,-45835703.0,-8.25,-75148040.0,-13.53
600988,赤峰黄金,18.44,1.32,119299734.0,8.29,44659478.0,3.1,74640256.0,5.19,33149232.0,2.3,-152448976.0,-10.6
